event,priority,blocksNextPriority,method,bodyType,alias_1p_victim_only,alias_3p_except_victim,alias_3p_attacker_only,alias_3p_except_attacker,spmp,
death,105,0,SE_GIB,NPC_GRUNT,,death.pinkmist,,,spmp,
death,105,0,SE_GIB,NPC_MARVIN,,,,,spmp,
death,105,0,SE_GIB,NPC_PROWLER,,,,,spmp,
death,105,0,SE_GIB,NPC_SPECTRE,,,,,spmp,
death,105,0,SE_GIB,NPC_STALKER,,,,,spmp,
death,110,1,SE_HEADSHOT_BULLET,NPC_GRUNT,,,,Flesh.Light.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_BULLET,NPC_MARVIN,,,,Android.Light.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_BULLET,NPC_SPECTRE,,,,Android.Light.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_BULLET,NPC_STALKER,,,,Android.Light.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_SHOTGUN,NPC_GRUNT,,,,Flesh.Shotgun.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_SHOTGUN,NPC_MARVIN,,,,Android.Heavy.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_SHOTGUN,NPC_SPECTRE,,,,Android.Heavy.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_SHOTGUN,NPC_STALKER,,,,Android.Heavy.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_TITAN,NPC_GRUNT,,,,Flesh.Heavy.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_TITAN,NPC_MARVIN,,,,Android.Heavy.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_TITAN,NPC_SPECTRE,,,,Android.Heavy.BulletImpact_Headshot_3P_vs_3P,spmp,
death,110,1,SE_HEADSHOT_TITAN,NPC_STALKER,,,,Android.Heavy.BulletImpact_Headshot_3P_vs_3P,spmp,
death,120,1,SE_EXECUTION,NPC_GRUNT,,diag_efforts_DeathNeck_gl_grunt_3p,,,spmp,
death,140,1,SE_DISSOLVE,NPC_GRUNT,,diag_efforts_DeathBurn_gl_grunt_3p,,,spmp,
death,160,1,SE_ELECTRICAL,NPC_GRUNT,,diag_efforts_DeathElec_gl_grunt_3p,,,spmp,
death,180,1,SE_EXPLOSION,NPC_GRUNT,,diag_efforts_DeathExplo_gl_grunt_3p,,,spmp,
